Gender,Training Entity,Training Site,Borough,District,School,Class Number,Adaptive Class,Session,Session Date Range,School Year,First Day of Class,Number of Sessions Attended
Female,NYC Parks,Boys and Girls Harbor,Manhattan,4,Central Park East 1,2,FALSE,Session #1,October - December,2016-2017,10/24/2016,4
Female,NYC Parks,Boys and Girls Harbor,Manhattan,4,Central Park East 1,2,FALSE,Session #1,October - December,2016-2017,10/24/2017,5
Female,NYC Parks,Boys and Girls Harbor,Manhattan,4,Central Park East 1,2,FALSE,Session #1,October - December,2016-2017,10/24/2017,7
Female,NYC Parks,Boys and Girls Harbor,Manhattan,4,Central Park East 1,2,FALSE,Session #1,October - December,2016-2017,10/24/2016,6
Female,NYC Parks,Boys and Girls Harbor,Manhattan,4,Central Park East 1,2,FALSE,Session #1,October - December,2016-2017,10/24/2017,3
Female,NYC Parks,Boys and Girls Harbor,Manhattan,4,Central Park East 1,2,FALSE,Session #1,October - December,2016-2017,10/24/2016,4
Female,NYC Parks,Boys and Girls Harbor,Manhattan,4,Central Park East 1,2,FALSE,Session #1,October - December,2016-2017,10/24/2016,5
Female,NYC Parks,Boys and Girls Harbor,Manhattan,4,Central Park East 1,2,FALSE,Session #1,October - December,2016-2017,10/24/2016,5
Female,NYC Parks,Boys and Girls Harbor,Manhattan,4,Central Park East 1,2,FALSE,Session #1,October - December,2016-2017,10/24/2016,5
Female,NYC Parks,Boys and Girls Harbor,Manhattan,4,Central Park East 1,2,FALSE,Session #1,October - December,2016-2017,10/24/2016,6
Female,NYC Parks,Boys and Girls Harbor,Manhattan,4,Central Park East 1,2,FALSE,Session #1,October - December,2016-2017,10/24/2016,6
Female,NYC Parks,Boys and Girls Harbor,Manhattan,4,Central Park East 1,2,FALSE,Session #1,October - December,2016-2017,10/24/2016,3
Female,NYC Parks,Boys and Girls Harbor,Manhattan,4,Central Park East 1,2,FALSE,Session #1,October - December,2016-2017,10/24/2016,6
Female,NYC Parks,Boys and Girls Harbor,Manhattan,4,Central Park East 1,2,FALSE,Session #1,October - December,2016-2017,10/24/2017,5
Female,NYC Parks,Boys and Girls Harbor,Manhattan,4,Central Park East 1,2,FALSE,Session #1,October - December,2016-2017,10/24/2016,5
Female,NYC Parks,Boys and Girls Harbor,Manhattan,4,Central Park East 1,2,FALSE,Session #1,October - December,2016-2017,10/24/2016,2
Female,NYC Parks,Boys and Girls Harbor,Manhattan,4,Central Park East 1,2,FALSE,Session #1,October - December,2016-2017,10/24/2016,7
Male,NYC Parks,Boys and Girls Harbor,Manhattan,4,Central Park East 1,1,FALSE,Session #1,October - December,2016-2017,10/24/2016,2
Male,NYC Parks,Boys and Girls Harbor,Manhattan,4,Central Park East 1,1,FALSE,Session #1,October - December,2016-2017,10/24/2016,4
Male,NYC Parks,Boys and Girls Harbor,Manhattan,4,Central Park East 1,201,FALSE,Session #1,October - December,2016-2017,10/24/2016,6
Male,NYC Parks,Boys and Girls Harbor,Manhattan,4,Central Park East 1,1,FALSE,Session #1,October - December,2016-2017,10/24/2016,6
Male,NYC Parks,Boys and Girls Harbor,Manhattan,4,Central Park East 1,1,FALSE,Session #1,October - December,2016-2017,10/24/2017,4
Male,NYC Parks,Boys and Girls Harbor,Manhattan,4,Central Park East 1,1,FALSE,Session #1,October - December,2016-2017,10/24/2017,4
Male,NYC Parks,Boys and Girls Harbor,Manhattan,4,Central Park East 1,1,FALSE,Session #1,October - December,2016-2017,10/24/2017,4
Male,NYC Parks,Boys and Girls Harbor,Manhattan,4,Central Park East 1,1,FALSE,Session #1,October - December,2016-2017,10/24/2016,7
Male,NYC Parks,Boys and Girls Harbor,Manhattan,4,Central Park East 1,1,FALSE,Session #1,October - December,2016-2017,10/24/2016,7
Male,NYC Parks,Boys and Girls Harbor,Manhattan,4,Central Park East 1,1,FALSE,Session #1,October - December,2016-2017,10/24/2016,7
Male,NYC Parks,Boys and Girls Harbor,Manhattan,4,Central Park East 1,1,FALSE,Session #1,October - December,2016-2017,10/17/2016,9
Male,NYC Parks,Boys and Girls Harbor,Manhattan,4,Central Park East 1,1,FALSE,Session #1,October - December,2016-2017,10/24/2016,9
Male,NYC Parks,Boys and Girls Harbor,Manhattan,4,Central Park East 1,1,FALSE,Session #1,October - December,2016-2017,10/24/2016,8
Male,NYC Parks,Boys and Girls Harbor,Manhattan,4,Central Park East 1,1,FALSE,Session #1,October - December,2016-2017,10/24/2016,8
Male,NYC Parks,Boys and Girls Harbor,Manhattan,4,Central Park East 1,1,FALSE,Session #1,October - December,2016-2017,10/24/2016,6
Male,NYC Parks,Boys and Girls Harbor,Manhattan,4,Central Park East 1,1,FALSE,Session #1,October - December,2016-2017,10/24/2016,8
Male,NYC Parks,Boys and Girls Harbor,Manhattan,4,Central Park East 1,1,FALSE,Session #1,October - December,2016-2017,10/24/2016,7
Male,NYC Parks,Asser Levy,Manhattan,4,Central Park East 1,1,FALSE,Session #1,October - December,2016-2017,10/24/2016,7
Male,NYC Parks,Boys and Girls Harbor,Manhattan,4,Central Park East 1,1,FALSE,Session #1,October - December,2016-2017,10/24/2016,6
Male,NYC Parks,Asser Levy,Manhattan,4,Harbor Science & Arts Charter School,201,FALSE,Session #1,October - December,2017-2018,10/16/2017,4
Female,NYC Parks,Asser Levy,Manhattan,4,Harbor Science & Arts Charter School,201,FALSE,Session #1,October - December,2017-2018,10/16/2017,3
Female,NYC Parks,Asser Levy,Manhattan,4,Harbor Science & Arts Charter School,201,FALSE,Session #1,October - December,2017-2018,10/16/2017,5
Female,NYC Parks,Asser Levy,Manhattan,4,Harbor Science & Arts Charter School,201,FALSE,Session #1,October - December,2017-2018,10/16/2017,1
Male,NYC Parks,Asser Levy,Manhattan,4,Harbor Science & Arts Charter School,201,FALSE,Session #1,October - December,2017-2018,10/16/2017,5
Male,NYC Parks,Asser Levy,Manhattan,4,Harbor Science & Arts Charter School,201,FALSE,Session #1,October - December,2017-2018,10/16/2017,2
Female,NYC Parks,Asser Levy,Manhattan,4,Harbor Science & Arts Charter School,201,FALSE,Session #1,October - December,2017-2018,10/16/2017,5
Female,NYC Parks,Asser Levy,Manhattan,4,Harbor Science & Arts Charter School,201,FALSE,Session #1,October - December,2017-2018,10/16/2017,2
Female,NYC Parks,Asser Levy,Manhattan,4,Harbor Science & Arts Charter School,201,FALSE,Session #1,October - December,2017-2018,10/16/2017,1
Male,NYC Parks,Asser Levy,Manhattan,4,Harbor Science & Arts Charter School,201,FALSE,Session #1,October - December,2017-2018,10/16/2017,1
Female,NYC Parks,Asser Levy,Manhattan,4,Harbor Science & Arts Charter School,201,FALSE,Session #1,October - December,2017-2018,10/16/2017,4
Female,NYC Parks,Asser Levy,Manhattan,4,Harbor Science & Arts Charter School,201,FALSE,Session #1,October - December,2017-2018,10/16/2017,5
Female,NYC Parks,Asser Levy,Manhattan,4,Harbor Science & Arts Charter School,201,FALSE,Session #1,October - December,2017-2018,10/16/2017,2
Female,NYC Parks,Asser Levy,Manhattan,4,Harbor Science & Arts Charter School,201,FALSE,Session #1,October - December,2017-2018,10/16/2017,4
Female,NYC Parks,Asser Levy,Manhattan,4,Harbor Science & Arts Charter School,201,FALSE,Session #1,October - December,2017-2018,10/16/2017,4
Male,NYC Parks,Asser Levy,Manhattan,4,Harbor Science & Arts Charter School,201,FALSE,Session #1,October - December,2017-2018,10/16/2017,3
Male,NYC Parks,Asser Levy,Manhattan,4,Harbor Science & Arts Charter School,201,FALSE,Session #1,October - December,2017-2018,10/16/2017,2
Female,NYC Parks,Asser Levy,Manhattan,4,Harbor Science & Arts Charter School,201,FALSE,Session #1,October - December,2017-2018,10/16/2017,1
Male,NYC Parks,Asser Levy,Manhattan,4,Harbor Science & Arts Charter School,201,FALSE,Session #1,October - December,2017-2018,10/16/2017,1
Female,NYC Parks,Asser Levy,Manhattan,4,Harbor Science & Arts Charter School,201,FALSE,Session #1,October - December,2017-2018,10/16/2017,4
Female,NYC Parks,Asser Levy,Manhattan,4,Harbor Science & Arts Charter School,201,FALSE,Session #1,October - December,2017-2018,10/16/2017,4
Female,NYC Parks,Asser Levy,Manhattan,4,Harbor Science & Arts Charter School,201,FALSE,Session #1,October - December,2017-2018,10/16/2017,4
Female,NYC Parks,Asser Levy,Manhattan,4,Harbor Science & Arts Charter School,201,FALSE,Session #1,October - December,2017-2018,10/16/2017,0
Female,NYC Parks,Asser Levy,Manhattan,4,Harbor Science & Arts Charter School,201,FALSE,Session #1,October - December,2017-2018,10/16/2017,4
Female,NYC Parks,Asser Levy,Manhattan,4,Harbor Science & Arts Charter School,201,FALSE,Session #1,October - December,2017-2018,10/16/2017,1
Male,NYC Parks,Asser Levy,Manhattan,4,Harbor Science & Arts Charter School,201,FALSE,Session #1,October - December,2017-2018,10/16/2017,2
Male,NYC Parks,Asser Levy,Manhattan,4,Harbor Science & Arts Charter School,201,FALSE,Session #1,October - December,2017-2018,10/16/2017,2
Male,NYC Parks,Asser Levy,Manhattan,4,Harbor Science & Arts Charter School,201,FALSE,Session #1,October - December,2017-2018,10/16/2017,2
Female,NYC Parks,Asser Levy,Manhattan,4,Harbor Science & Arts Charter School,201,FALSE,Session #1,October - December,2017-2018,10/16/2017,4
Male,NYC Parks,Asser Levy,Manhattan,4,Harbor Science & Arts Charter School,201,FALSE,Session #1,October - December,2017-2018,10/16/2017,4
Male,NYC Parks,Roy Wilkins,Queens,24,Hellen M. Marshall,201,FALSE,Session #1,October - December,2019-2020,10/8/2019,7
Male,NYC Parks,Roy Wilkins,Queens,24,Hellen M. Marshall,201,FALSE,Session #1,October - December,2019-2020,10/8/2019,9
Female,NYC Parks,Roy Wilkins,Queens,24,Hellen M. Marshall,201,FALSE,Session #1,October - December,2019-2020,10/8/2019,3
Female,NYC Parks,Roy Wilkins,Queens,24,Hellen M. Marshall,201,FALSE,Session #1,October - December,2019-2020,10/8/2019,9
Female,NYC Parks,Roy Wilkins,Queens,24,Hellen M. Marshall,201,FALSE,Session #1,October - December,2019-2020,10/8/2019,4
Female,NYC Parks,Roy Wilkins,Queens,24,Hellen M. Marshall,201,FALSE,Session #1,October - December,2019-2020,10/8/2019,9
Female,NYC Parks,Roy Wilkins,Queens,24,Hellen M. Marshall,201,FALSE,Session #1,October - December,2019-2020,10/8/2019,4
Female,NYC Parks,Roy Wilkins,Queens,24,Hellen M. Marshall,201,FALSE,Session #1,October - December,2019-2020,10/8/2019,8
Female,NYC Parks,Roy Wilkins,Queens,24,Hellen M. Marshall,201,FALSE,Session #1,October - December,2019-2020,10/8/2019,6
Male,NYC Parks,Roy Wilkins,Queens,24,Hellen M. Marshall,201,FALSE,Session #1,October - December,2019-2020,10/8/2019,5
Male,NYC Parks,Roy Wilkins,Queens,24,Hellen M. Marshall,201,FALSE,Session #1,October - December,2019-2020,10/8/2019,5
Male,NYC Parks,Roy Wilkins,Queens,24,Hellen M. Marshall,201,FALSE,Session #1,October - December,2019-2020,10/8/2019,8
Female,NYC Parks,Roy Wilkins,Queens,24,Hellen M. Marshall,201,FALSE,Session #1,October - December,2019-2020,10/8/2019,8
Female,NYC Parks,Roy Wilkins,Queens,24,Hellen M. Marshall,201,FALSE,Session #1,October - December,2019-2020,10/8/2019,6
Female,NYC Parks,Roy Wilkins,Queens,24,Hellen M. Marshall,201,FALSE,Session #1,October - December,2019-2020,10/8/2019,9
Female,NYC Parks,Roy Wilkins,Queens,24,Hellen M. Marshall,201,FALSE,Session #1,October - December,2019-2020,10/8/2019,9
